station,side,ground
153,5,152.000
155,-5,152.000
155,0,152.000
155,5,152.000
157,-5,152.000
157,0,152.000
157,5,152.000
159,-5,152.000
159,0,152.000
159,5,152.000
161,-5,152.007
161,0,152.007
161,5,152.007
163,-5,152.065
163,0,152.065
163,5,152.065
165,-5,152.180
165,0,152.180
165,5,152.180
167,-5,152.353
167,0,152.353
167,5,152.353
169,-5,152.583
169,0,152.583
169,5,152.583
171,-5,152.871
171,0,152.871
171,5,152.871
173,-5,153.217
173,0,153.217
173,5,153.217
175,-5,153.620
175,0,153.620
175,5,153.620
177,-5,154.081
177,0,154.081
177,5,154.081
179,-5,154.599
179,0,154.599
179,5,154.599
181,-5,155.175
181,0,155.175
181,5,155.175
183,-5,155.809
183,0,155.809
183,5,155.809
185,-5,156.500
185,0,156.500
185,5,156.500
187,-5,157.249
187,0,157.249
187,5,157.249
189,-5,158.055
189,0,158.055
189,5,158.055
191,-5,158.919
191,0,158.919
191,5,158.919
193,-5,159.841
193,0,159.841
193,5,159.841
195,-5,160.820
195,0,160.820
195,5,160.820
197,-5,161.857
197,0,161.857
197,5,161.857
199,-5,162.951
199,0,162.951
199,5,162.951
201,-5,164.103
201,0,164.103
201,5,164.103
203,-5,165.313
203,0,165.313
203,5,165.313
205,-5,166.580
205,0,166.580
205,5,166.580
207,-5,167.905
207,0,167.905
207,5,167.905
209,-5,169.287
209,0,169.287
209,5,169.287
211,-5,170.727
211,0,170.727
211,5,170.727
213,-5,172.225
213,0,172.225
213,5,172.225
215,-5,173.780
215,0,173.780
215,5,173.780
217,-5,175.393
217,0,175.393
217,5,175.393
219,-5,177.063
219,0,177.063
219,5,177.063
221,-5,168.326
221,0,172.795
221,5,176.549
223,-5,162.562
223,0,161.226
223,5,159.066
225,-5,162.874
225,0,161.749
225,5,159.715
227,-5,163.111
227,0,162.193
227,5,160.361
229,-5,163.271
229,0,162.570
229,5,160.944
231,-5,163.317
231,0,162.864
231,5,161.453
233,-5,163.301
233,0,163.029
233,5,161.893
235,-5,163.264
235,0,163.058
235,5,162.231
237,-5,163.212
237,0,162.987
237,5,162.432
239,-5,163.142
239,0,162.880
239,5,162.491
241,-5,163.055
241,0,162.758
241,5,162.414
243,-5,162.952
243,0,162.626
243,5,162.271
245,-5,162.833
245,0,162.487
245,5,162.117
247,-5,162.702
247,0,162.338
247,5,161.955
249,-5,162.561
249,0,162.179
249,5,161.781
251,-5,162.402
251,0,162.009
251,5,161.594
253,-5,162.127
253,0,161.830
253,5,161.396
255,-5,161.738
255,0,161.633
255,5,161.186
257,-5,161.235
257,0,161.392
257,5,160.962
259,-5,160.297
259,0,160.982
259,5,160.728
261,-5,158.498
261,0,160.227
261,5,160.478
263,-5,157.886
263,0,158.891
263,5,160.158
265,-5,157.553
265,0,158.323
265,5,159.694
267,-5,157.312
267,0,158.038
267,5,159.092
269,-5,157.071
269,0,157.346
269,5,158.368
271,-5,156.320
271,0,156.210
271,5,157.506
273,-5,154.741
273,0,155.127
273,5,156.552
275,-5,153.350
275,0,153.985
275,5,155.516
277,-5,152.265
277,0,152.852
277,5,154.420
279,-5,151.351
279,0,151.727
279,5,153.275
281,-5,150.511
281,0,150.596
281,5,152.083
283,-5,149.759
283,0,149.489
283,5,150.897
285,-5,149.025
285,0,148.466
285,5,149.696
287,-5,148.286
287,0,147.489
287,5,148.504
289,-5,147.529
289,0,146.531
289,5,147.363
291,-5,146.754
291,0,145.615
291,5,146.215
293,-5,145.965
293,0,144.795
293,5,145.085
295,-5,145.162
295,0,143.975
295,5,144.036
297,-5,144.342
297,0,143.146
297,5,143.004
299,-5,143.509
299,0,142.315
299,5,141.973
301,-5,142.665
301,0,141.481
301,5,140.946
303,-5,141.808
303,0,140.637
303,5,140.018
305,-5,140.938
305,0,139.784
305,5,139.078
307,-5,140.059
307,0,138.917
307,5,138.111
309,-5,139.171
309,0,138.042
309,5,137.172
311,-5,138.272
311,0,137.159
311,5,136.290
313,-5,137.366
313,0,136.269
313,5,135.382
315,-5,136.453
315,0,135.369
315,5,134.429
317,-5,135.534
317,0,134.464
317,5,133.550
319,-5,134.607
319,0,133.558
319,5,132.686
321,-5,134.364
321,0,132.963
321,5,132.321
323,-5,136.406
323,0,134.598
323,5,135.248
325,-5,141.106
325,0,140.254
325,5,141.083
327,-5,148.341
327,0,148.010
327,5,148.811
329,-5,156.714
329,0,156.834
329,5,157.494
331,-5,188.250
331,0,188.250
331,5,188.250
333,-5,186.750
333,0,186.750
333,5,186.750
335,-5,185.250
335,0,185.250
335,5,185.250
337,-5,183.750
337,0,183.750
337,5,183.750
339,-5,182.250
339,0,182.250
339,5,182.250
341,-5,180.750
341,0,180.750
341,5,180.750
343,-5,179.250
343,0,179.250
343,5,179.250
345,-5,177.750
345,0,177.750
345,5,177.750
347,-5,176.250
347,0,176.250
347,5,176.250
349,-5,174.750
349,0,174.750
349,5,174.750
351,-5,173.250
351,0,173.250
351,5,173.250
353,-5,171.750
353,0,171.750
353,5,171.750
355,-5,170.250
355,0,170.250
355,5,170.250
357,-5,168.750
357,0,168.750
357,5,168.750
359,-5,167.250
359,0,167.250
359,5,167.250
361,-5,165.750
361,0,165.750
361,5,165.750
363,-5,164.250
363,0,164.250
363,5,164.250
365,-5,162.750
365,0,162.750
365,5,162.750
367,-5,161.250
367,0,161.250
367,5,161.250
369,-5,159.750
369,0,159.750
369,5,159.750
371,-5,158.250
371,0,158.250
371,5,158.250
373,-5,156.750
373,0,156.750
373,5,156.750
375,-5,155.250
375,0,155.250
375,5,155.250
377,-5,153.750
377,0,153.750
377,5,153.750
379,-5,152.250
379,0,152.250
379,5,152.250
381,-5,150.750
381,0,150.750
381,5,150.750
383,-5,149.250
383,0,149.250
383,5,149.250
385,-5,147.750
385,0,147.750
385,5,147.750
387,-5,146.250
387,0,146.250
387,5,146.250
389,-5,144.750
389,0,144.750
389,5,144.750
391,-5,143.253
391,0,143.253
391,5,143.253
393,-5,141.773
393,0,141.772
393,5,141.773
395,-5,140.313
395,0,140.313
395,5,140.313
397,-5,138.872
397,0,138.873
397,5,138.873
399,-5,137.453
399,0,137.453
399,5,137.453
401,-5,136.053
401,0,136.053
401,5,136.053
403,-5,134.673
403,0,134.673
403,5,134.673
405,-5,133.313
405,0,133.313
405,5,133.313
407,-5,131.973
407,0,131.973
407,5,131.973
409,-5,130.653
409,0,130.653
409,5,130.653
411,-5,129.353
411,0,129.353
411,5,129.352
413,-5,128.073
413,0,128.073
413,5,128.073
415,-5,126.813
415,0,126.813
415,5,126.813
417,-5,125.573
417,0,125.572
417,5,125.573
419,-5,124.353
419,0,124.353
419,5,124.353
421,-5,123.152
421,0,123.153
421,5,123.153
423,-5,121.973
423,0,121.973
423,5,121.973
425,-5,120.813
425,0,120.813
425,5,120.813
427,-5,119.673
427,0,119.673
427,5,119.673
429,-5,118.553
429,0,118.553
429,5,118.553
431,-5,117.453
431,0,117.453
431,5,117.453
433,-5,116.373
433,0,116.373
433,5,116.373
435,-5,115.313
435,0,115.313
435,5,115.313
437,-5,114.273
437,0,114.273
437,5,114.273
439,-5,113.253
439,0,113.253
439,5,113.253
441,-5,112.253
441,0,112.252
441,5,112.253
443,-5,111.273
443,0,111.273
443,5,111.273
445,-5,110.312
445,0,110.313
445,5,110.313
447,-5,109.373
447,0,109.373
447,5,109.373
449,-5,108.453
449,0,108.453
449,5,108.453
451,-5,107.553
451,0,107.553
451,5,107.553
453,-5,106.673
453,0,106.673
453,5,106.673
455,-5,105.813
455,0,105.813
455,5,105.813
457,-5,104.973
457,0,104.973
457,5,104.973
459,-5,104.153
459,0,104.153
459,5,104.153
461,-5,103.353
461,0,103.353
461,5,103.353
463,-5,102.573
463,0,102.573
463,5,102.573
465,-5,101.813
465,0,101.813
465,5,101.813
467,-5,101.073
467,0,101.073
467,5,101.073
469,-5,100.353
469,0,100.353
469,5,100.353
471,-5,99.653
471,0,99.653
471,5,99.652
473,-5,98.972
473,0,98.972
473,5,98.973
475,-5,98.313
475,0,98.348
475,5,98.312
477,-5,98.313
477,0,97.932
477,5,97.672
479,-5,98.200
479,0,97.491
479,5,97.052
481,-5,97.685
481,0,97.056
481,5,96.453
483,-5,97.151
483,0,96.634
483,5,95.978
485,-5,96.609
485,0,96.227
485,5,95.581
487,-5,95.987
487,0,95.838
487,5,95.205
489,-5,95.319
489,0,95.428
489,5,94.852
491,-5,94.622
491,0,94.988
491,5,94.538
493,-5,93.901
493,0,94.497
493,5,94.245
495,-5,93.179
495,0,93.947
495,5,93.929
497,-5,92.498
497,0,93.311
497,5,93.621
499,-5,91.952
499,0,92.636
499,5,93.217
501,-5,91.552
501,0,91.941
501,5,92.662
503,-5,91.172
503,0,91.277
503,5,92.024
505,-5,90.813
505,0,90.812
505,5,91.350
507,-5,90.472
507,0,90.472
507,5,90.702
509,-5,90.152
509,0,90.153
509,5,90.159
511,-5,89.950
511,0,89.950
511,5,89.950
513,-5,89.850
513,0,89.850
513,5,89.850
515,-5,89.686
515,0,89.750
515,5,89.662
517,-5,89.384
517,0,89.285
517,5,89.304
519,-5,88.605
519,0,88.504
519,5,88.522
