route,station,x,y,z,obstacle
Mountain return trails / exploration only,330.0,992.82,133.59,-70.06,
Mountain return trails / exploration only,335.0,997.62,134.49,-68.95,
Mountain return trails / exploration only,340.0,1002.37,135.40,-67.68,
Mountain return trails / exploration only,345.0,1007.05,136.31,-66.19,
Mountain return trails / exploration only,350.0,1011.64,137.23,-64.43,
Mountain return trails / exploration only,355.0,1016.08,138.15,-62.34,
Mountain return trails / exploration only,360.0,1020.29,139.06,-59.80,
Mountain return trails / exploration only,365.0,1024.22,139.94,-56.84,
Mountain return trails / exploration only,370.0,1027.90,140.77,-53.56,
Mountain return trails / exploration only,375.0,1031.31,141.54,-49.98,
Mountain return trails / exploration only,380.0,1034.42,142.27,-46.14,
Mountain return trails / exploration only,385.0,1037.26,142.94,-42.08,
Mountain return trails / exploration only,390.0,1039.80,143.57,-37.82,
Mountain return trails / exploration only,395.0,1042.07,144.16,-33.41,
Mountain return trails / exploration only,400.0,1044.07,144.71,-28.86,
Mountain return trails / exploration only,405.0,1045.80,145.24,-24.20,
Mountain return trails / exploration only,410.0,1047.30,145.74,-19.46,
Mountain return trails / exploration only,415.0,1048.55,146.23,-14.64,
Mountain return trails / exploration only,420.0,1049.57,146.70,-9.77,
Mountain return trails / exploration only,425.0,1050.37,147.17,-4.86,
Mountain return trails / exploration only,430.0,1050.97,147.65,0.08,
Mountain return trails / exploration only,435.0,1051.34,148.13,5.04,
Mountain return trails / exploration only,440.0,1051.51,148.63,10.02,
Mountain return trails / exploration only,445.0,1051.47,149.16,14.99,
Mountain return trails / exploration only,450.0,1051.21,149.71,19.95,
Mountain return trails / exploration only,455.0,1050.74,150.31,24.89,
Mountain return trails / exploration only,460.0,1050.03,150.97,29.80,
Mountain return trails / exploration only,465.0,1048.98,151.69,34.63,
Mountain return trails / exploration only,470.0,1047.53,152.43,39.36,
Mountain return trails / exploration only,475.0,1045.76,153.18,43.97,
Mountain return trails / exploration only,480.0,1043.73,153.94,48.47,
Mountain return trails / exploration only,485.0,1041.47,154.70,52.87,
Mountain return trails / exploration only,490.0,1039.03,155.46,57.17,
Mountain return trails / exploration only,495.0,1036.44,156.20,61.38,
Mountain return trails / exploration only,500.0,1033.72,156.94,65.51,
Mountain return trails / exploration only,505.0,1030.88,157.66,69.56,
Mountain return trails / exploration only,510.0,1027.94,158.36,73.54,
Mountain return trails / exploration only,515.0,1024.91,159.06,77.46,
Mountain return trails / exploration only,520.0,1021.82,159.87,81.30,
Mountain return trails / exploration only,525.0,1018.67,160.83,85.06,
Mountain return trails / exploration only,530.0,1015.48,161.95,88.75,
Mountain return trails / exploration only,535.0,1012.26,163.21,92.36,
Mountain return trails / exploration only,540.0,1009.01,164.60,95.89,
Mountain return trails / exploration only,545.0,1005.73,166.08,99.37,
Mountain return trails / exploration only,550.0,1002.40,165.54,102.81,
Mountain return trails / exploration only,555.0,999.44,162.86,105.81,
Mountain return trails / exploration only,560.0,996.07,161.64,109.15,
Mountain return trails / exploration only,565.0,992.48,161.88,112.63,
Mountain return trails / exploration only,570.0,988.86,162.13,116.07,
Mountain return trails / exploration only,575.0,985.17,162.43,119.42,
Mountain return trails / exploration only,580.0,981.38,162.74,122.68,
Mountain return trails / exploration only,585.0,977.52,163.03,125.83,
Mountain return trails / exploration only,590.0,973.56,163.24,128.88,
Mountain return trails / exploration only,595.0,969.51,163.34,131.82,
Mountain return trails / exploration only,600.0,965.38,163.27,134.63,
Mountain return trails / exploration only,605.0,961.16,163.01,137.29,
Mountain return trails / exploration only,610.0,956.86,162.56,139.81,
Mountain return trails / exploration only,615.0,952.49,162.03,142.17,
Mountain return trails / exploration only,620.0,948.04,161.42,144.36,
Mountain return trails / exploration only,625.0,943.51,160.72,146.36,
Mountain return trails / exploration only,630.0,938.91,159.94,148.16,
Mountain return trails / exploration only,635.0,934.25,159.08,149.75,
Mountain return trails / exploration only,640.0,929.52,158.13,151.09,
Mountain return trails / exploration only,645.0,924.76,157.10,152.18,
Mountain return trails / exploration only,650.0,919.95,155.99,153.01,
Mountain return trails / exploration only,655.0,915.14,154.75,153.53,
Mountain return trails / exploration only,660.0,910.34,153.37,153.79,
Mountain return trails / exploration only,665.0,905.57,151.88,153.81,
Mountain return trails / exploration only,670.0,900.83,150.31,153.60,
Mountain return trails / exploration only,675.0,896.12,148.66,153.18,
Mountain return trails / exploration only,680.0,891.46,146.97,152.56,
Mountain return trails / exploration only,685.0,886.84,145.24,151.75,
Mountain return trails / exploration only,690.0,882.27,143.48,150.75,
Mountain return trails / exploration only,695.0,877.75,141.71,149.56,
Mountain return trails / exploration only,700.0,873.28,139.94,148.17,
Mountain return trails / exploration only,705.0,868.88,138.18,146.59,
Mountain return trails / exploration only,710.0,864.55,136.44,144.79,
Mountain return trails / exploration only,715.0,860.30,134.74,142.78,
Mountain return trails / exploration only,720.0,856.15,133.10,140.52,
Mountain return trails / exploration only,725.0,852.12,131.54,138.00,
Mountain return trails / exploration only,730.0,848.25,130.09,135.19,
Mountain return trails / exploration only,735.0,844.71,128.81,131.92,
Mountain return trails / exploration only,740.0,841.65,127.70,128.12,
Mountain return trails / exploration only,745.0,839.01,126.75,123.99,
Mountain return trails / exploration only,750.0,836.70,125.92,119.64,
Mountain return trails / exploration only,755.0,834.62,125.18,115.15,
Mountain return trails / exploration only,760.0,832.72,124.50,110.57,
Mountain return trails / exploration only,765.0,830.95,123.86,105.94,
Mountain return trails / exploration only,770.0,829.23,123.24,101.29,
Mountain return trails / exploration only,775.0,827.54,122.63,96.62,
Mountain return trails / exploration only,780.0,825.82,122.00,91.97,
Mountain return trails / exploration only,785.0,824.02,121.34,87.35,
Mountain return trails / exploration only,790.0,822.09,120.62,82.80,
Mountain return trails / exploration only,795.0,819.93,119.77,78.37,
Mountain return trails / exploration only,800.0,817.51,118.51,74.18,
Mountain return trails / exploration only,805.0,814.73,116.90,70.36,
Mountain return trails / exploration only,810.0,811.47,114.96,67.11,
Mountain return trails / exploration only,815.0,807.58,113.13,64.58,
Mountain return trails / exploration only,820.0,803.06,112.10,62.76,
Mountain return trails / exploration only,825.0,798.30,111.24,61.73,
Mountain return trails / exploration only,830.0,793.70,109.32,61.34,
Mountain return trails / exploration only,835.0,789.09,107.38,61.36,
Mountain return trails / exploration only,840.0,784.50,105.44,61.69,
Mountain return trails / exploration only,845.0,779.91,103.51,62.21,
Mountain return trails / exploration only,850.0,775.34,101.60,62.87,
Mountain return trails / exploration only,855.0,770.77,99.71,63.57,
Mountain return trails / exploration only,860.0,766.18,97.85,64.28,
Mountain return trails / exploration only,865.0,761.57,96.02,64.90,
Mountain return trails / exploration only,870.0,756.92,94.23,65.37,
Mountain return trails / exploration only,875.0,752.24,92.49,65.57,
Mountain return trails / exploration only,880.0,747.53,90.85,65.35,
Mountain return trails / exploration only,885.0,742.82,89.32,64.66,
Mountain return trails / exploration only,890.0,738.03,87.92,64.25,
Mountain return trails / exploration only,895.0,733.20,86.64,64.14,
Mountain return trails / exploration only,900.0,728.35,85.45,64.17,
Mountain return trails / exploration only,905.0,723.47,84.36,64.17,
Mountain return trails / exploration only,910.0,718.58,83.34,63.94,
Mountain return trails / exploration only,915.0,713.72,82.40,63.24,
Mountain return trails / exploration only,920.0,709.02,81.53,61.81,
Mountain return trails / exploration only,925.0,704.72,80.76,59.41,
Mountain return trails / exploration only,930.0,701.05,80.12,56.08,
Mountain return trails / exploration only,935.0,698.18,79.60,52.04,
Mountain return trails / exploration only,940.0,695.97,79.19,47.57,
Mountain return trails / exploration only,945.0,694.34,78.87,42.86,
Mountain return trails / exploration only,950.0,694.74,78.66,38.18,
Mountain return trails / exploration only,955.0,698.60,78.55,35.03,
Mountain return trails / exploration only,960.0,702.95,78.48,32.58,
Mountain return trails / exploration only,965.0,707.40,78.43,30.30,
Mountain return trails / exploration only,970.0,711.81,78.38,27.94,
Mountain return trails / exploration only,975.0,715.95,78.33,25.16,
Mountain return trails / exploration only,980.0,718.00,78.28,20.86,
Mountain return trails / exploration only,985.0,718.00,78.23,15.86,
Mountain return trails / exploration only,990.0,718.00,78.20,10.86,
Mountain return trails / exploration only,995.0,718.00,78.19,5.86,
Mountain return trails / exploration only,1000.0,718.00,78.19,0.86,
Mountain return trails / exploration only,1005.0,718.00,78.19,-4.14,
Mountain return trails / exploration only,1010.0,718.00,78.21,-9.14,
Mountain return trails / exploration only,1015.0,718.00,78.23,-14.14,
Mountain return trails / exploration only,1020.0,718.00,78.26,-19.14,
Mountain return trails / exploration only,1025.0,718.00,78.30,-24.14,
Mountain return trails / exploration only,1030.0,718.00,78.34,-29.14,
Mountain return trails / exploration only,1035.0,718.00,78.38,-34.13,
Mountain return trails / exploration only,1040.0,718.00,78.43,-39.13,
Mountain return trails / exploration only,1045.0,715.93,78.47,-43.48,
Mountain return trails / exploration only,1050.0,711.97,78.51,-46.51,
Mountain return trails / exploration only,1055.0,707.63,78.53,-48.99,
Mountain return trails / exploration only,1060.0,703.20,78.56,-51.31,
Mountain return trails / exploration only,1065.0,698.79,78.59,-53.66,
Mountain return trails / exploration only,1070.0,694.52,78.62,-56.26,
Mountain return trails / exploration only,1075.0,690.81,78.65,-59.56,
Mountain return trails / exploration only,1080.0,689.80,78.71,-64.30,
Mountain return trails / exploration only,1085.0,689.88,78.77,-69.30,
Mountain return trails / exploration only,1090.0,689.96,78.83,-74.30,
Mountain return trails / exploration only,1095.0,690.03,78.88,-79.30,
Mountain return trails / exploration only,1100.0,690.08,78.93,-84.30,
Mountain return trails / exploration only,1105.0,690.10,78.98,-89.30,
Mountain return trails / exploration only,1110.0,690.02,79.01,-94.30,
Lake shore connection,0.0,472.33,85.49,-22.74,
Lake shore connection,5.0,474.94,86.18,-26.95,
Lake shore connection,10.0,477.47,86.80,-31.22,
Lake shore connection,15.0,480.01,87.33,-35.49,
Lake shore connection,20.0,482.60,87.68,-39.75,
Lake shore connection,25.0,485.28,87.83,-43.97,
Lake shore connection,30.0,488.07,87.89,-48.12,
Lake shore connection,35.0,491.01,87.95,-52.16,
Lake shore connection,40.0,494.17,87.90,-56.04,
Lake shore connection,45.0,497.63,87.27,-59.57,
Lake shore connection,50.0,501.33,85.91,-62.64,
Lake shore connection,55.0,505.20,84.11,-65.23,
Lake shore connection,60.0,509.43,82.78,-67.53,
Lake shore connection,65.0,513.94,82.25,-69.61,
Lake shore connection,70.0,518.50,81.81,-71.61,
Lake shore connection,75.0,523.05,81.44,-73.64,
Lake shore connection,80.0,527.56,81.15,-75.78,
Lake shore connection,85.0,532.01,80.90,-78.05,
Lake shore connection,90.0,536.41,80.68,-80.41,
Lake shore connection,95.0,540.79,80.49,-82.83,
Lake shore connection,100.0,545.15,80.31,-85.26,
Lake shore connection,105.0,549.52,80.14,-87.69,
Lake shore connection,110.0,553.89,79.98,-90.11,
Lake shore connection,115.0,558.28,79.83,-92.49,
Lake shore connection,120.0,562.70,79.69,-94.83,
Lake shore connection,125.0,567.15,79.56,-97.11,
Lake shore connection,130.0,571.64,79.43,-99.30,
Lake shore connection,135.0,576.18,79.31,-101.40,
Lake shore connection,140.0,580.77,79.20,-103.37,
Lake shore connection,145.0,585.44,79.10,-105.17,
Lake shore connection,150.0,590.18,79.01,-106.75,
Lake shore connection,155.0,594.99,78.94,-108.09,
Lake shore connection,160.0,599.86,78.90,-109.25,
Lake shore connection,165.0,604.76,78.87,-110.24,
Lake shore connection,170.0,609.69,78.85,-111.07,
Lake shore connection,175.0,614.64,78.85,-111.73,
Lake shore connection,180.0,619.62,78.87,-112.26,
Lake shore connection,185.0,624.60,78.89,-112.62,
Lake shore connection,190.0,629.60,78.91,-112.84,
Lake shore connection,195.0,634.60,78.94,-112.90,
Lake shore connection,200.0,639.59,78.97,-112.80,
Lake shore connection,205.0,644.59,78.99,-112.52,
Lake shore connection,210.0,649.56,79.00,-112.05,
Lake shore connection,215.0,654.51,79.00,-111.34,
Lake shore connection,220.0,659.41,79.00,-110.35,
Lake shore connection,225.0,664.24,79.00,-109.04,
Lake shore connection,230.0,668.95,79.00,-107.39,
Lake shore connection,235.0,673.54,79.00,-105.40,
Lake shore connection,240.0,677.97,79.00,-103.09,
Lake shore connection,245.0,682.25,79.00,-100.50,
Lake shore connection,250.0,686.38,79.00,-97.69,
Lake shore connection,255.0,690.39,79.05,-94.70,
Lake shore connection,260.0,694.35,79.05,-91.66,
Lake shore connection,265.0,698.29,79.00,-88.58,
Lake shore connection,270.0,702.16,79.00,-85.41,
Lake shore connection,275.0,705.91,79.00,-82.11,
Lake shore connection,280.0,709.49,79.00,-78.63,
Lake shore connection,285.0,712.87,79.00,-74.94,
Lake shore connection,290.0,715.96,79.00,-71.01,
Lake shore connection,295.0,718.74,79.00,-66.86,
Lake shore connection,300.0,721.11,79.00,-62.46,
Lake shore connection,305.0,723.05,79.00,-57.85,
Lake shore connection,310.0,724.53,79.00,-53.08,
Lake shore connection,315.0,725.60,78.99,-48.20,
Lake shore connection,320.0,726.40,78.91,-43.26,
Lake shore connection,325.0,726.99,78.90,-38.30,
Lake shore connection,330.0,727.42,78.94,-33.32,
Lake shore connection,335.0,727.72,78.97,-28.32,
Lake shore connection,340.0,727.89,78.99,-23.33,
Lake shore connection,345.0,727.94,78.99,-18.33,
Lake shore connection,350.0,727.89,78.98,-13.33,
Lake shore connection,355.0,727.73,78.96,-8.33,
Lake shore connection,360.0,727.46,78.92,-3.34,
Lake shore connection,365.0,727.06,78.87,1.64,
Lake shore connection,370.0,726.53,78.79,6.62,
Lake shore connection,375.0,725.82,78.68,11.56,
Lake shore connection,380.0,724.89,78.50,16.47,
Lake shore connection,385.0,723.58,78.34,21.29,
Lake shore connection,390.0,721.63,78.31,25.89,
Lake shore connection,395.0,718.84,78.40,30.02,
Lake shore connection,400.0,715.23,78.52,33.46,
Lake shore connection,405.0,711.06,78.62,36.20,
Lake shore connection,410.0,706.62,78.66,38.52,
Lake shore connection,415.0,702.15,78.74,40.74,
Lake shore connection,420.0,697.79,78.95,43.17,
Lake shore connection,425.0,693.65,79.03,45.98,
Lake shore connection,430.0,689.66,79.08,48.99,
Lake shore connection,435.0,685.70,78.98,52.05,
Lake shore connection,440.0,681.73,78.96,55.09,
Lake shore connection,445.0,677.70,78.94,58.04,
Lake shore connection,450.0,673.57,78.93,60.86,
Lake shore connection,455.0,669.32,78.93,63.48,
Lake shore connection,460.0,664.91,78.93,65.84,
Lake shore connection,465.0,660.34,78.95,67.88,
Lake shore connection,470.0,655.63,78.99,69.53,
Lake shore connection,475.0,650.80,79.03,70.82,
Lake shore connection,480.0,645.92,79.09,71.91,
Lake shore connection,485.0,641.01,79.14,72.86,
Lake shore connection,490.0,636.07,79.21,73.65,
Lake shore connection,495.0,631.11,79.27,74.28,
Lake shore connection,500.0,626.14,79.35,74.75,
Lake shore connection,505.0,621.15,79.43,75.03,
Lake shore connection,510.0,616.15,79.51,75.11,
Lake shore connection,515.0,611.15,79.60,74.97,
Lake shore connection,520.0,606.17,79.70,74.55,
Lake shore connection,525.0,601.23,79.81,73.82,
Lake shore connection,530.0,596.36,79.94,72.70,
Lake shore connection,535.0,591.62,80.07,71.13,
Lake shore connection,540.0,587.06,80.22,69.07,
Lake shore connection,545.0,582.70,80.38,66.63,
Lake shore connection,550.0,578.52,80.55,63.90,
Lake shore connection,555.0,574.50,80.73,60.93,
Lake shore connection,560.0,570.62,80.91,57.78,
Lake shore connection,565.0,566.87,81.08,54.49,
Lake shore connection,570.0,563.22,81.26,51.07,
Lake shore connection,575.0,559.67,81.44,47.55,
Lake shore connection,580.0,556.20,81.61,43.96,
Lake shore connection,585.0,552.79,81.78,40.30,
Lake shore connection,590.0,549.44,81.94,36.60,
Lake shore connection,595.0,546.11,82.08,32.87,
Lake shore connection,600.0,542.83,82.24,29.10,
Lake shore connection,605.0,539.66,82.39,25.24,
Lake shore connection,610.0,536.64,82.53,21.26,
Lake shore connection,615.0,533.83,82.67,17.12,
Lake shore connection,620.0,531.33,82.79,12.80,
Lake shore connection,625.0,529.21,82.89,8.27,
Lake shore connection,630.0,527.55,82.96,3.56,
Lake shore connection,635.0,526.41,82.99,-1.31,
Lake shore connection,640.0,525.84,82.99,-6.27,
Lake shore connection,645.0,526.01,82.96,-11.26,
Lake shore connection,650.0,526.71,82.90,-16.21,
Lake shore connection,655.0,527.71,82.83,-21.11,
Lake shore connection,660.0,528.94,82.74,-25.96,
Lake shore connection,665.0,530.29,82.64,-30.77,
Lake shore connection,670.0,531.72,82.54,-35.56,
Lake shore connection,675.0,533.17,82.43,-40.34,
Lake shore connection,680.0,534.57,82.31,-45.14,
Lake shore connection,685.0,535.84,82.19,-49.98,
Lake shore connection,690.0,536.78,82.06,-54.88,
Lake shore connection,695.0,537.12,81.90,-59.86,
Lake shore connection,700.0,537.12,81.67,-64.86,
Lake shore connection,705.0,536.61,81.37,-69.82,
Lake shore connection,710.0,534.83,81.04,-74.43,
Lake shore connection,715.0,530.68,80.97,-76.89,
Lake shore connection,720.0,525.77,81.30,-76.36,
Lake shore connection,725.0,521.08,81.68,-74.69,
Lake shore connection,730.0,516.58,82.12,-72.56,
Lake shore connection,735.0,512.22,82.55,-70.15,
Lake shore connection,740.0,508.02,83.18,-67.54,
Lake shore connection,745.0,504.10,84.68,-64.82,
Lake shore connection,750.0,500.37,86.34,-61.94,
Lake shore connection,755.0,496.73,87.51,-58.73,
Lake shore connection,760.0,493.35,87.93,-55.08,
Lake shore connection,765.0,490.25,87.94,-51.16,
Lake shore connection,770.0,487.36,87.87,-47.08,
Lake shore connection,775.0,484.60,87.80,-42.91,
Lake shore connection,780.0,481.94,87.60,-38.68,
Lake shore connection,785.0,479.36,87.21,-34.41,
Lake shore connection,790.0,476.83,86.65,-30.14,
Lake shore connection,795.0,474.30,86.01,-25.88,
