x,y,z
392.610,32.981,-184.534
394.190,32.988,-184.109
395.785,32.995,-183.713
397.390,32.999,-183.345
399.000,33.000,-183.000
400.307,33.000,-182.789
401.699,33.001,-182.671
403.167,33.002,-182.635
404.701,33.003,-182.671
406.290,33.005,-182.768
407.925,33.006,-182.916
409.595,33.008,-183.104
411.291,33.010,-183.322
413.002,33.011,-183.559
414.719,33.013,-183.805
416.432,33.015,-184.049
418.130,33.016,-184.280
419.803,33.017,-184.489
421.443,33.018,-184.664
423.038,33.018,-184.795
424.578,33.018,-184.872
426.054,33.017,-184.884
427.456,33.016,-184.820
428.774,33.015,-184.670
429.997,33.012,-184.424
431.116,33.009,-184.070
432.120,33.005,-183.599
433.000,33.000,-183.000
433.828,32.993,-182.169
434.535,32.985,-181.149
435.128,32.976,-179.960
435.618,32.965,-178.622
436.011,32.953,-177.155
436.318,32.941,-175.579
436.547,32.927,-173.914
436.707,32.913,-172.178
436.806,32.899,-170.394
436.854,32.885,-168.579
436.859,32.870,-166.754
436.829,32.856,-164.940
436.774,32.841,-163.155
436.703,32.827,-161.420
436.623,32.814,-159.754
436.545,32.802,-158.178
436.476,32.790,-156.711
436.425,32.779,-155.373
436.402,32.770,-154.184
436.415,32.761,-153.165
436.472,32.755,-152.333
