x,y,z,gap
490.511,75.921,-158.407,0.000
388.812,79.096,-12.213,0.000
462.838,78.522,14.213,0.000
471.938,88.337,-70.242,0.000
482.649,88.247,-92.603,0.000
476.239,88.442,-79.753,0.000
411.290,83.198,-41.881,0.000
461.506,83.244,-11.172,0.000
509.124,81.511,-146.590,0.000
501.535,81.526,-129.335,0.000
425.763,82.248,-41.854,0.000
480.815,85.745,-123.737,0.000
439.327,78.631,14.989,0.000
389.234,79.096,2.280,0.000
462.877,78.242,15.965,0.000
389.487,79.095,10.977,0.000
475.354,88.436,-77.876,0.000
459.497,86.872,-37.454,0.000
476.239,88.442,-79.753,0.000
509.433,76.567,-153.113,0.000
437.007,84.623,-40.387,0.000
401.318,79.779,16.434,0.000
442.264,78.543,14.836,0.000
427.579,80.099,15.601,0.000
448.252,85.464,-38.920,0.000
499.712,85.804,-118.450,0.000
422.952,82.757,-42.221,0.000
442.630,85.035,-39.654,0.000
492.153,85.632,-120.565,0.000
451.063,85.756,-38.554,0.000
411.290,83.198,-41.881,0.000
389.656,79.337,16.774,0.000
464.790,87.801,-49.865,0.000
430.516,79.008,15.448,0.000
389.234,79.096,2.280,0.000
501.535,81.526,-129.335,0.000
453.874,86.048,-38.187,0.000
461.429,83.619,-13.213,0.000
495.579,86.047,-117.267,0.000
467.303,88.041,-58.194,0.000
502.954,81.651,-130.042,0.000
421.726,83.304,15.840,0.000
389.065,79.097,-3.517,0.000
498.065,76.665,-156.293,0.000
388.643,79.096,-18.011,0.000
424.642,81.967,15.755,0.000
479.867,88.389,-87.152,0.000
388.051,79.095,-38.302,0.000
451.075,78.376,14.376,0.000
388.896,79.097,-9.315,0.000
412.980,83.269,16.095,0.000
484.594,85.762,-122.680,0.000
484.520,88.098,-96.197,0.000
461.326,84.347,-17.342,0.000
388.643,79.096,-18.011,0.000
462.044,81.345,-1.195,0.000
497.332,85.476,-120.715,0.000
388.474,79.095,-23.808,0.000
388.980,79.097,-6.416,0.000
494.688,86.306,-115.537,0.000
499.706,85.807,-118.431,0.000
461.696,82.484,-7.185,0.000
487.329,87.782,-101.537,0.000
466.626,87.981,-56.141,0.000
407.149,80.437,16.264,0.000
392.572,79.705,16.689,0.000
517.799,67.765,-166.679,0.000
510.609,80.868,-150.015,0.000
420.036,83.487,-42.136,0.000
478.949,88.415,-85.318,0.000
388.558,79.095,-20.910,0.000
473.619,88.400,-74.085,0.000
488.374,85.720,-121.622,0.000
431.385,83.702,-41.121,0.000
501.858,76.044,-155.232,0.000
514.253,72.185,-158.434,0.000
494.288,76.324,-157.350,0.000
474.480,88.420,-75.987,0.000
493.788,86.548,-113.803,0.000
387.967,79.032,-41.201,0.000
462.702,79.156,10.433,0.000
500.726,81.532,-127.628,0.000
462.898,77.962,17.811,0.000
388.474,79.095,-23.808,0.000
462.044,81.345,-1.195,0.000
445.201,78.471,14.683,0.000
388.305,79.095,-29.606,0.000
461.310,85.038,-21.533,0.000
501.840,76.034,-155.237,0.000
412.980,83.269,16.095,0.000
388.812,79.096,-12.213,0.000
451.063,85.756,-38.554,0.000
421.726,83.304,15.840,0.000
433.453,78.851,15.295,0.000
486.393,87.901,-99.763,0.000
478.038,88.433,-83.473,0.000
465.366,87.862,-51.976,0.000
456.686,86.709,-37.820,0.000
502.327,81.524,-131.039,0.000
462.308,87.041,-37.087,0.000
480.815,85.745,-123.737,0.000
425.763,82.248,-41.854,0.000
407.149,80.437,16.264,0.000
461.341,85.375,-23.650,0.000
517.098,68.647,-165.041,0.000
517.098,68.647,-165.041,0.000
461.429,83.619,-13.213,0.000
445.441,85.248,-39.287,0.000
463.295,87.532,-43.266,0.000
461.403,85.704,-25.783,0.000
461.626,86.282,-30.090,0.000
461.326,84.347,-17.342,0.000
408.375,80.551,-41.796,0.000
512.078,75.060,-153.405,0.000
424.642,81.967,15.755,0.000
405.459,80.253,-41.711,0.000
461.497,86.003,-27.930,0.000
461.341,85.375,-23.650,0.000
483.584,88.179,-94.403,0.000
388.558,79.095,-20.910,0.000
392.572,79.705,16.689,0.000
515.683,70.423,-161.749,0.000
445.201,78.471,14.683,0.000
509.868,81.450,-148.308,0.000
508.376,81.508,-144.864,0.000
515.683,70.423,-161.749,0.000
478.949,88.415,-85.318,0.000
466.626,87.981,-56.141,0.000
514.970,71.259,-160.095,0.000
396.713,79.416,-41.456,0.000
517.799,67.765,-166.679,0.000
456.686,86.709,-37.820,0.000
509.124,81.511,-146.590,0.000
462.877,78.242,15.965,0.000
514.253,72.185,-158.434,0.000
434.196,84.354,-40.754,0.000
462.165,80.958,0.774,0.000
468.790,88.155,-62.374,0.000
505.642,76.414,-154.174,0.000
477.134,88.442,-81.619,0.000
461.696,82.484,-7.185,0.000
